,0
0,2048
1,2049
2,2050
3,2052
4,2053
5,2054
6,2055
7,2056
8,2057
9,2058
10,2060
11,2061
12,2062
13,2063
14,2064
15,2065
16,2066
17,2068
18,2069
19,2070
20,2071
21,2072
22,25
23,2078
24,2079
25,2080
26,2082
27,2083
28,2087
29,2088
30,2089
31,2090
32,2091
33,2095
34,2096
35,2097
36,2099
37,54
38,2102
39,2111
40,64
41,2112
42,66
43,2113
44,2114
45,2115
46,2116
47,71
48,2117
49,2121
50,2118
51,75
52,2123
53,2124
54,78
55,79
56,80
57,2125
58,2128
59,2130
60,2131
61,2134
62,2136
63,2137
64,90
65,91
66,92
67,2141
68,2142
69,96
70,2145
71,2146
72,2147
73,2148
74,101
75,102
76,2149
77,104
78,2151
79,2152
80,2153
81,108
82,109
83,2154
84,2155
85,2156
86,2157
87,2158
88,2159
89,2160
90,2161
91,2162
92,119
93,2163
94,2164
95,2166
96,2169
97,2170
98,2173
99,126
100,2168
101,128
102,129
103,2176
104,2177
105,132
106,133
107,2178
108,135
109,136
110,2179
111,2184
112,2185
113,2186
114,141
115,142
116,143
117,144
118,2187
119,2190
120,2191
121,2192
122,2193
123,2194
124,151
125,2198
126,153
127,2199
128,2200
129,156
130,2201
131,2202
132,2203
133,2206
134,2207
135,2208
136,2209
137,2212
138,2210
139,2211
140,167
141,168
142,2213
143,170
144,2219
145,2216
146,2221
147,174
148,175
149,2223
150,2217
151,2226
152,2227
153,2220
154,2228
155,2230
156,183
157,2231
158,2232
159,186
160,2233
161,2234
162,2237
163,2235
164,2239
165,2240
166,2241
167,2242
168,195
169,2243
170,2245
171,2244
172,2247
173,199
174,200
175,201
176,202
177,2246
178,2248
179,206
180,2250
181,208
182,216
183,219
184,223
185,224
186,226
187,229
188,230
189,237
190,242
191,255
192,256
193,259
194,260
195,261
196,262
197,271
198,274
199,275
200,276
201,280
202,281
203,290
204,291
205,294
206,305
207,314
208,324
209,325
210,329
211,332
212,337
213,341
214,343
215,350
216,354
217,358
218,362
219,364
220,375
221,386
222,391
223,396
224,397
225,398
226,401
227,415
228,2119
229,439
230,440
231,441
232,448
233,451
234,462
235,464
236,465
237,469
238,473
239,475
240,476
241,480
242,481
243,500
244,503
245,504
246,513
247,518
248,526
249,527
250,541
251,543
252,568
253,570
254,571
255,574
256,576
257,577
258,583
259,588
260,599
261,601
262,602
263,603
264,604
265,607
266,613
267,617
268,669
269,680
270,2171
271,684
272,686
273,687
274,2172
275,689
276,693
277,2174
278,701
279,707
280,708
281,711
282,2180
283,731
284,733
285,2181
286,738
287,739
288,2182
289,2183
290,745
291,748
292,754
293,755
294,759
295,777
296,783
297,788
298,794
299,2195
300,806
301,2196
302,2197
303,815
304,819
305,820
306,827
307,829
308,830
309,837
310,2218
311,1002
312,1003
313,1005
314,1006
315,1008
316,2236
317,1013
318,1018
319,1019
320,2238
321,1020
322,1022
323,1023
324,1026
325,1035
326,1043
327,1044
328,1045
329,1046
330,1048
331,1050
332,1054
333,1056
334,1057
335,1063
336,1065
337,1067
338,1068
339,1072
340,1073
341,1082
342,1083
343,1085
344,1090
345,1091
346,1110
347,1112
348,1114
349,1134
350,1140
351,1144
352,1145
353,1146
354,1150
355,1155
356,1156
357,1161
358,1162
359,1165
360,1167
361,1170
362,1171
363,1172
364,1173
365,1174
366,1175
367,1177
368,1180
369,1182
370,1184
371,1185
372,1190
373,1192
374,1195
375,1196
376,1202
377,1206
378,1209
379,1211
380,1212
381,1213
382,1214
383,1224
384,1226
385,1227
386,1230
387,1241
388,1242
389,1244
390,1246
391,1250
392,1251
393,1256
394,1257
395,1260
396,1261
397,1267
398,1268
399,1273
400,1277
401,1278
402,1279
403,1281
404,1283
405,1288
406,1290
407,1294
408,1298
409,1300
410,1301
411,1302
412,1308
413,1309
414,1311
415,1312
416,1313
417,1323
418,1324
419,1326
420,1327
421,1333
422,1335
423,1336
424,1338
425,1340
426,1341
427,1345
428,1347
429,1348
430,1355
431,1356
432,1366
433,1368
434,1369
435,1375
436,1376
437,1379
438,1380
439,1382
440,1384
441,1385
442,1388
443,1389
444,1390
445,1391
446,1392
447,1394
448,1395
449,1396
450,1397
451,1398
452,1399
453,1400
454,1401
455,1402
456,2002
457,2003
458,2006
459,2007
460,2009
461,2010
462,2011
463,2013
464,2014
465,2018
466,2019
467,2020
468,2021
469,2022
470,2023
471,2024
472,2025
473,2026
474,2027
475,2028
476,2030
477,2031
478,2033
479,2034
480,2036
481,2038
482,2039
483,2041
484,2043
485,2044
486,2045
487,2046
488,2047
